,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,sku,product, Quantity ,,,,,,,
,,20292,HAEMODIALYSIS CATHETER KIT 12FR*16CM, 50 ,,,,,,,
,,20293,CENTRAL VENOUS CATHETER KIT 4FR*13CM, 5 ,,,,,,,
,,20294,CENTRAL VENOUS CATHETER KIT 5FR*13CM, 45 ,,,,,,,
,,20295,DRAINAGE CATHETER 12FR*50CM, 60 ,,,,,,,
,,20296,VADI G-329000, 9 ,,,,,,,
,,20297,REUSABLE BREATHING CIRCUIT (CHILD/INFANT), 4 ,,,,,,,
,,20298,MEDAL HEADLIGHT LED , 4 ,,,,,,,
,,20299,FISTULA NEEDLE 16G*25M FIXED WING, 500 ,,,,,,,
,,20300,ALCOHOL PAD 6*3CM," 4,000 ",,,,,,,
,,20301,ALCOHOL PAD 6*3CM, 222 ,,,,,,,
,,20302,SINGLE DIGITAL FLEXIBLE URETEROSCOPE , 25 ,,,,,,,
,,20303,RADIAL ARTERY COMPRESSION DEVICE, 60 ,,,,,,,
,,20304,SPUTUM CUP , 250 ,,,,,,,
,,20305,CPAP MASK PVC (M), 50 ,,,,,,,
,,20306,CPAP MASK PVC (L), 60 ,,,,,,,
,,20307,INTRODUCTOR FOR KARDIO 6FR*23CM, 200 ,,,,,,,
,,20308,INTRODUCTOR FOR KARDIO 5FR*23CM, 169 ,,,,,,,
,,20309,STERILE AMNIOTIC MEMBRANE PERFORATOR," 1,000 ",,,,,,,
,,20310,NEBULIZER MASK PEDIATRIC ELONGATED, 243 ,,,,,,,
,,20311,OSTMOPEDIC COTTON BANDAGE 5CM, 100 ,,,,,,,
,,20312,OSTMOPEDIC COTTON BANDAGE 7.5CM, 76 ,,,,,,,
,,20313,2D WIRELESS BARCODE SCANNER, 14 ,,,,,,,
,,20314,SURGICAL SCRUB BRUSH (1EACH SINGLE)," 16,500 ",,,,,,,
,,20315,DENTAL NEEDLES 27*21MM ," 5,000 ",,,,,,,
,,20316,DENTAL NEEDLES 27*38MM," 4,800 ",,,,,,,
,,20317,HIGH DEFENATION HANDLE PROTECTIVE COVER, 99 ,,,,,,,
,,20318,THD SLIDE FAST, 230 ,,,,,,,
,,20319,ELECTRONIC BABY SCALE, 21 ,,,,,,,
,,20320,NELATON CATHETER LATEX ," 15,000 ",,,,,,,
,,20321,DISPOSABLE STERILE UNIVERSAL PACK 4," 2,920 ",,,,,,,
,,20322,DISPOSABLE STERILE UNIVERSAL PACK 10," 1,670 ",,,,,,,
,,20323,SINGLE USE SURGICAL GOWN," 5,850 ",,,,,,,
,,20324,SPARADRAP ADHESIVE TAPE 2.5CM*5M," 17,280 ",,,,,,,
,,20325,INRODUCER SET 7FR*11CM, 100 ,,,,,,,
,,20326,INRODUCER SET 8FR*11CM, 90 ,,,,,,,
,,20327,INRODUCER SET 6FR*11CM, 100 ,,,,,,,
,,20328,INRODUCER SET 5FR*11CM, 90 ,,,,,,,
,,20329,DISPOSABLE PRESSURE TRANSDUCER ONE WAY, 900 ,,,,,,,
,,20330,DISPOSABLE SUCTION CATHETER 12FR*50CM," 1,500 ",,,,,,,
,,20331,DISPOSABLE SUCTION CATHETER 14FR*50CM," 1,000 ",,,,,,,
,,20332,BLOOD PRESSURE TRANSDUCER UTAH CONNECT, 30 ,,,,,,,
,,20333,FISTULA NEEDLE 16*25CM-300MM, 750 ,,,,,,,
,,20334,INFUSION EXTENSION TUBES 2.7M*10CM," 1,199 ",,,,,,,
,,20335,EPIDURA ANESTHESIA KIT III 18*80CM , 250 ,,,,,,,
,,20336,DISPOSABLE PRESSURE TRANSDUCER, 200 ,,,,,,,
,,20337,NON-WOVEN STRIP CAP HEAD CAP," 460,000 ",,,,,,,
,,20338,SLIPPERS , 34 ,,,,,,,
,,20339,JIKE DISPOSABLE HEATER , 57 ,,,,,,,
,,20340,oxygen mzsk mix," 4,900 ",,,,,,,
,,20341,nebulizer MASK MIX ," 4,400 ",,,,,,,
,,20342,PLASTER-NON WEOVEN TAPE 10 CM," 2,240 ",,,,,,,
,,20343,NON REBREATHING MASK (L), 300 ,,,,,,,
,,20344,NON REBREATHING MASK (S), 300 ,,,,,,,
,,20345,DENTAL COTTON ROLL, 984 ,,,,,,,
,,20346,ECG-ELECTRODE ," 4,000 ",,,,,,,
,,20347,INFANT OXYGEN HOOP, 14 ,,,,,,,
,,20348,LOW-PRESSURE ASPIRATOR, 6 ,,,,,,,
,,20349,INFANT HEAD FIXING UNIT, 17 ,,,,,,,
,,20350,MESH NEBULIZER, 400 ,,,,,,,
,,20351,HIGH PRESSURE SYRINGE 200ML, 150 ,,,,,,,
,,20352,ASTHMA SPACER (M) CHILD, 100 ,,,,,,,
,,20353,DIGITAL THERMOMITER, 900 ,,,,,,,
,,20354,BANDAGE SPASM, 300 ,,,,,,,
,,20355,INFUSION SET WITH BURETTE 150ML, 500 ,,,,,,,
